last_name,first_name,date,title,accusation,response,fallout
Fish,Hamilton,10/30/17,President and publisher of The New Republic.,Complaints by female employees.,"Women have longstanding and profound concerns with respect to their treatment in the workplace. Many men have a lot to learn in this regard. I know I do, and I hope for and encourage that new direction.",
Oreskes,Michael,10/31/17,Head of news at NPR and former New York Tiems editor,Sexual harassment of three women.,"I am deeply sorry to the people I hurt. My behavior was wrong and inexcusable, and I accept full responsibility.",Resigned.
Dick,Andy,10/31/17,Actor,"Sexual harassment, including groping.Ê","I don't grope people anymore. I don't expose myself anymore. They were so incensed by what I was saying. People are so sensitive. I didn't grope anybody. I might have kissed somebody on the cheek to say goodbye and then licked them. That's my thing Ñ I licked Carrie Fisher at a roast. It's me being funny. I'm not trying to sexually harass people. I didn't grab anybody's genitals. Of course I'm going to proposition people. I'm single, depressed, lonely and trying to get a date. They can just say no, and they probably did and then I was done. I overtook my medication and took too many Xanax and I was a bit loopy [on set]. That didn't make me rape people. I really don't get it. I'm always trying to be funny and trying to get a date. I still don't have a date. I am on Tinder and I'm looking. I don't know the difference between sexual harassment and trying to get a date. In the '70s, all the girlfriends I got was by kissing and licking their cheek. I don't know anymore. There were beautiful women and beautiful guys on the set. I flirt with them. I might kiss someone on the set and ask them to go to dinner. They are the ones that took it south.",Fired.
Hoover,Jeff,11/1/17,Kentucky speaker of the House,Sexual harassment and inappropriate text messages. ,"To say that the past few weeks, and especially the past four days, have been trying and difficult would be an understatement. With prayer, support from my family and friends, and hundreds of people, we have endured. I want to thank so many Kentuckians who have reached out to me and my family during this time. The decision today is what is best for Kentucky, what is best for the House of Representatives. For 21 years, the folks in Russell, Clinton, Cumberland, and Pulaski counties have given me the honor and privilege to serve and represent them here in Frankfort. I have served them and the citizens of this state to the very best of my ability. I have tried to develop and maintain a sense of fairness, honesty, and integrity in all my dealings and actions in Frankfort. I have tried, since January, as Speaker of the House, to change the tone of how things were done in Frankfort, to show that folks from both parties, majority and minority, should be engaged in the process and could work together to solve issues and make the Kentucky we all love a better place. I am proud of the work we have done, and the progress we have made. Now we face a difficult time. A few weeks ago, on October 17th, I received a letter from an attorney on behalf of his client making allegations, let me repeat, allegations, against me and others for sexual harassment. The letter was not a demand letter in the sense of demanding a sum of money Ð it requested that we negotiate a resolution instead of litigating the allegations. I immediately contacted and sought the advice of counsel. After discussing the matter with counsel on October 18th, I informed the other individuals named in the allegations. On October 20th, we met with counsel to discuss the allegations. In the meantime, our counsel and the complainantÕs attorney spoke about setting up a formal mediation with a mediator selected, and paid, by both sides in an effort to resolve the dispute and in a manner requested by the complainantÕs attorney. By mutual agreement, this meeting was held five days later, just eight days after the letter was received, and as was requested by the complainant. At that mediation, an agreement was reached between all parties and all counsel to resolve the issue. None of the parties against whom the allegations were made admitted any wrongdoing. In fact, all of those individuals, including myself, absolutely and expressly denied any sexual harassment had taken place. The parties agreed that the mediation and resolution should remain confidential, which was important to both sides in the effort to move forward in the employment relationship. I did make mistakes in that I engaged in inappropriate text messages. I engaged in banter that was consensual, but yet was wrong on my part, and, for that, I am truly support. I have asked for and received forgiveness from God, my wife, Karyn, and my family has forgiven me and I have their unwavering support. Today, I ask the people of this Commonwealth to forgive me for my actions. I am truly sorry and ask for your forgiveness. But, as inappropriate as those text messages were, I want to reiterate at no time did I engage in unwelcome or unwanted conduct of any kind, and at no time were there ever any sexual relations of any kind. There has never been a culture of sexual harassment, as some opportunists would wrongly claim for their personal political gain. I can move forward in my life thanks to friends and family who, I hope, know the real Jeff Hoover, and know this was a mistake. I have fallen short. I am a sinner. My Twitter bio says Òsinner saved by GodÕs grace.Ó That is me, even though some media reports have made light of my faith and this statement in their reporting. However, we are at a point that this is more than being about Jeff Hoover.",Resigned.
Westwick,Ed,11/7/17,Actor,Raping two women.,"It is disheartening and sad to me that as a result of two unverified and probably untrue social media claims, there are some in this environment who could ever conclude that I have had anything to do with such vile and horrific conduct. I have absolutely not, and I am cooperating with the authorities so that they can clear my name as soon as possible. ",Television shows postponed and the LAPD is investigating.
Tambor,Jeffrey,11/8/17,Actor,"Sexual harassment of two women, including unwanted physical contact.Ê","Playing Maura Pfefferman on ÔTransparentÕÊhas been one of the greatest privileges and creative experiences of my life. What has become clear over the past weeks, however, is that this is no longer the job I signed up for four years ago. IÕve already made clear my deep regret if any action of mine was ever misinterpreted by anyone as being aggressive, but the idea that I would deliberately harass anyone is simply and utterly untrue. Given the politicized atmosphere that seems to have afflicted our set, I donÕt see how I can returnÊto ÔTransparent.Õ I am aware that a former disgruntled assistant of mine has made a private post implying that I had acted in an improper manner toward her. I adamantly and vehemently reject and deny any and all implication and allegation that I have ever engaged in any improper behavior toward this person or any other person I have ever worked with.ÊI am appalled and distressed by this baseless allegation. For the past four years, IÕve had the huge privilege Ñ and huge responsibility Ð of playing Maura Pfefferman, a transgender woman, in a show that I know has had an enormous, positive impact on a community that has been too long dismissed and misunderstood. Now I find myself accused of behavior that any civilized person would condemn unreservedly. I know I havenÕt always been the easiest person to work with. I can be volatile and ill-tempered, and too often I express my opinions harshly and without tact. But I have never been a predator Ð ever. I am deeply sorry if any action of mine was ever misinterpreted by anyone as being sexually aggressive or if I ever offended or hurt anyone. But the fact is, for all my flaws, I am not a predator and the idea that someone might see me in that way is more distressing than I can express.",Leaving his role on the Amazon series ÒTransparent.ÓÊ
Genocchio,Benjamin,11/8/17,Executive director of the Armory Show art fair,"Sexual harassment, including unwelcome touching of five women.","Launching start-up news websites definitely led to conflicts with a few employees, but I never intentionally acted in an inappropriate manner nor spoke to or touched a colleague in a sexually inappropriate way. To the extent my behavior was perceived as disrespectful, I deeply and sincerely apologize and will ensure it does not happen again.",Replaced.
Moore,Roy,11/9/17,Albama judge and politician.,ÊSexual misconduct with five teenagers.Ê,,
C.K.,Louis,11/9/17,Comedian and producer,"Sexual misconduct with five women, including exposing himself and masturbating in front of them.Ê","I want to address the stories told to The New York Times by five women named Abby, Rebecca, Dana, Julia who felt able to name themselves and one who did not. These stories are true. At the time, I said to myself that what I did was O.K. because I never showed a woman my dick without asking first, which is also true. But what I learned later in life, too late, is that when you have power over another person, asking them to look at your dick isnÕt a question. ItÕs a predicament for them. The power I had over these women is that they admired me. And I wielded that power irresponsibly. I have been remorseful of my actions. And IÕve tried to learn from them. And run from them. Now IÕm aware of the extent of the impact of my actions. I learned yesterday the extent to which I left these women who admired me feeling badly about themselves and cautious around other men who would never have put them in that position. I also took advantage of the fact that I was widely admired in my and their community, which disabled them from sharing their story and brought hardship to them when they tried because people who look up to me didnÕt want to hear it. I didnÕt think that I was doing any of that because my position allowed me not to think about it. There is nothing about this that I forgive myself for. And I have to reconcile it with who I am. Which is nothing compared to the task I left them with. I wish I had reacted to their admiration of me by being a good example to them as a man and given them some guidance as a comedian, including because I admired their work.
The hardest regret to live with is what youÕve done to hurt someone else. And I can hardly wrap my head around the scope of hurt I brought on them. IÕd be remiss to exclude the hurt that IÕve brought on people who I work with and have worked with whoÕs professional and personal lives have been impacted by all of this, including projects currently in production: the cast and crew of Better Things, Baskets, The Cops, One Mississippi, and I Love You, Daddy. I deeply regret that this has brought negative attention to my manager Dave Becky who only tried to mediate a situation that I caused. IÕve brought anguish and hardship to the people at FX who have given me so much The Orchard who took a chance on my movie. and every other entity that has bet on me through the years. IÕve brought pain to my family, my friends, my children and their mother.
I have spent my long and lucky career talking and saying anything I want. I will now step back and take a long time to listen. Thank you for reading.",FX and other media companies cut ties. Movie release and comedy special were canceled. 
Kresiberg,Andrew,11/10/17,Producer,ÊSexual harassment of more than a dozen people.,"Êhave made comments on womenÕs appearances and clothes in my capacity as an executive producer, but they were not sexualized. Like many people, I have given someone a non-sexual hug or kiss on the cheek. I have proudly mentored both male and female colleagues for many years. But never in what I believe to be an unwanted way and certainly never in a sexual way. ",Suspended fro Warner Bros. TV Group.
Franken,Al,11/16/17,U.S. Senator,"Sexual harassment of two women, including forcibly kissing and groping.","The first thing I want to do is apologize: to Leeann, to everyone else who was part of that tour, to everyone who has worke for me, to everyone I represent, and to everyone who counts on me to be an ally and supporter and champion of women. There's more I want to say, but the first and most important thing -- and if it's the only thing you care to hear, that's fine -- is: I'm sorry. I respect women. I don't respect men who don't. And the fact that my own actions have given people a good reason to doub tthat makes me feel ashamed. But I want to say something else, too. Over the last few months, all of us -- including and especially men who respect women -- have been forced to take a good, hard look at our own actions and think (perhaps, shamefully, for the first time) about how those actions have affectd women. For instance, that picture. I don't know what was in my head when i took that picture, and it doesn't matter. There's no excuse. I look at it now and I feel disgusted with myself. It isn't funny. It's completely inappropriate. It's obvious how Leeann would feel violated by that picture. And, what's more, I can see how millions of other women would feel violated by it -- women who have had similar experiences in their own lives, women who fear having those experiences, women who look up to me, women who have acounted on me. Coming from the world of comedy, I've told and written a lot of jokes that I once thought were funny but later came to realize were just plain offensive. But the intentions behind my actions aren't the point at all. It's the impact thes jokes had on others that matters. And I'm sorry it's taken me so long to come to terms with that. While I don't remember the rehearsal for the skit as Leeann does, I understand why we need to listen to and believe women's experiences. I am asking that an ethics investigation be undertaken, and I will gladly cooperate. And the truth is. what people thik of me in light of this is far less important than what people think of women who continue to come forwar to tell their stories. They deserve to be heard, and blieved. And they deserve to know that I am their ally and supporter. I have let them down and am committed to making it up to them.",Under investigation.
Thrush,Glenn,11/20/17,Reporter at The New York Times,"Sexually inappropriate behavior toward at least four women, including groping and unwanted kissing.Ê","I apologize to any woman who felt uncomfortable in my presence, and for any situation where I behaved inappropriately. Any behavior that makes a woman feel disrespected or uncomfortable is unacceptable.",Suspended pending an investigation by The New York Times.
Rose,Charlie,11/20/17,Television host,"Sexual harassment of at least eight women, including groping and lewd phone calls.Ê","In my 45 years of journalism, I have prided myself on being an advocate for the careers of the women with whom I have worked. Nevertheless, in the past few days, claims have been made about my behavior toward some former female colleagues. It is essential that these women know I hear them and that I deeply apologize for my inappropriate behavior. I am greatly embarrassed. I have behaved insensitively at times, and I accept responsibility for that, tohugh I do not believe that all of these allegations are accurate. I always felt that I was pursuing shared feelings, even though I now realize I was mistaken. I have learned a great deal as a result of these events, and I hope others will too. All of us, including me, are coming to a newer and deeper recognition of the pain caused by conduct in the past, and have come to a profound new respect for women and their lives. ","ÊFired by CBS. Bloomberg and PBS canceled distribution of his interview show, ÒCharlie Rose.Ó"
